Ano,Município,Aparelho de Pesca,Pescado,kg no Período,nº de descargas do período
2009,Laguna,Arrasto duplo,Linguado-vermelho,"2.900,00",4
2009,Laguna,Arrasto duplo,Mangangá,"19.100,00",10
2009,Laguna,Arrasto duplo,Maria-luiza,"2.000,00",3
2009,Laguna,Arrasto duplo,Maria-mole,"60.740,00",31
2009,Laguna,Arrasto duplo,Mistura,"24.550,00",13
2009,Laguna,Arrasto duplo,Não discriminado,"1.263.241,00",81
2009,Laguna,Arrasto duplo,Pargo-rosa,"5.500,00",3
2009,Laguna,Arrasto duplo,Peixe-porco,"99.680,00",26
2009,Laguna,Arrasto duplo,Peixe-sapo,"1.000,00",2
2009,Laguna,Arrasto duplo,Pescada,"540,00",2
2009,Laguna,Arrasto duplo,Pescada-amarela,"11.100,00",7
2009,Laguna,Arrasto duplo,Pescadinha-real,"10.000,00",4
2009,Laguna,Arrasto duplo,Polvo,"44.600,00",21
2009,Laguna,Arrasto duplo,Raia,"4.000,00",7
2009,Laguna,Arrasto duplo,Sapateira,"5.600,00",12
2009,Laguna,Arrasto duplo,Tira-vira,"10.340,00",12
2009,Laguna,Arrasto duplo,Trilha,"15.800,00",13
2009,Navegantes,Arrasto de parelha,Abrótea,"11.090,00",5
2009,Navegantes,Arrasto de parelha,Bagre,"10.740,00",6
2009,Navegantes,Arrasto de parelha,Betara,"13.470,00",12
2009,Navegantes,Arrasto de parelha,Cabra,"56.870,00",18
2009,Navegantes,Arrasto de parelha,Castanha,"743.245,00",18
2009,Navegantes,Arrasto de parelha,Corcoroca,"2.000,00",1
2009,Navegantes,Arrasto de parelha,Corvina,"413.390,00",30
2009,Navegantes,Arrasto de parelha,Emplastro,"12.140,00",12
2009,Navegantes,Arrasto de parelha,Enchova,"1.000,00",3
2009,Navegantes,Arrasto de parelha,Espada,"4.180,00",6
2009,Navegantes,Arrasto de parelha,Galo,"3.080,00",4
2009,Navegantes,Arrasto de parelha,Goete,"230.750,00",23
2009,Navegantes,Arrasto de parelha,Gordinho,"4.660,00",8
2009,Navegantes,Arrasto de parelha,Guaivira,"2.820,00",5
2009,Navegantes,Arrasto de parelha,Linguado,"13.110,00",10
2009,Navegantes,Arrasto de parelha,Linguado-areia,"5.160,00",3
2009,Navegantes,Arrasto de parelha,Linguado-vermelho,"500,00",1
2009,Navegantes,Arrasto de parelha,Lula,"29.326,00",3
2009,Navegantes,Arrasto de parelha,Mangangá,"40,00",1
2009,Navegantes,Arrasto de parelha,Maria-luiza,"2.160,00",6
2009,Navegantes,Arrasto de parelha,Maria-mole,"448.200,00",18
2009,Navegantes,Arrasto de parelha,Mistura,"136.203,00",23
2009,Navegantes,Arrasto de parelha,Olho-de-boi,"2.000,00",1
2009,Navegantes,Arrasto de parelha,Palombeta,"12.900,00",6
2009,Navegantes,Arrasto de parelha,Peixe-porco,"640,00",3
2009,Navegantes,Arrasto de parelha,Peixe-sapo,"500,00",1
2009,Navegantes,Arrasto de parelha,Pescada,"3.000,00",2
2009,Navegantes,Arrasto de parelha,Pescada-amarela,"97.200,00",6
2009,Navegantes,Arrasto de parelha,Pescada-bicuda,"60,00",1
2009,Navegantes,Arrasto de parelha,Pescada-branca,"300,00",2
2009,Navegantes,Arrasto de parelha,Pescada-cambucu,"100,00",1
2009,Navegantes,Arrasto de parelha,Pescadinha-real,"17.020,00",5
2009,Navegantes,Arrasto de parelha,Polvo,"47,00",2
2009,Navegantes,Arrasto de parelha,Raia,"7.914,00",7
2009,Navegantes,Arrasto de parelha,Robalo,"3.100,00",4
2009,Navegantes,Arrasto de parelha,Roncador,"3.380,00",4
2009,Navegantes,Arrasto de parelha,Tira-vira,"100,00",1
2009,Navegantes,Arrasto duplo,Abrótea,"577.176,40",231
2009,Navegantes,Arrasto duplo,Abrótea-de-fundo,"2.142.325,00",124
2009,Navegantes,Arrasto duplo,Bagre,"1.920,00",16
2009,Navegantes,Arrasto duplo,Batata,"29.276,00",75
2009,Navegantes,Arrasto duplo,Betara,"25.779,00",102
2009,Navegantes,Arrasto duplo,Cabra,"526.140,20",234
2009,Navegantes,Arrasto duplo,Cação-anjo,"1.040,00",14
2009,Navegantes,Arrasto duplo,Cação-gato,"2.900,00",4
2009,Navegantes,Arrasto duplo,Cações,"60,00",2
2009,Navegantes,Arrasto duplo,Caçonete,"2.268,00",19
